Grade,Subject,Topic,SubTopic,link,tag
3,Mathematics,Multiplication,Adding equal groups,https://www.youtube.com/watch?v=eSBCcr_fIbI,Video
3,Mathematics,Multiplication,Adding equal groups,https://www.youtube.com/watch?v=miUkEn_EYIk,Video
3,Mathematics,Multiplication,Multiplication of 2 digit numbers,https://www.youtube.com/watch?v=vak31YAMkHI,Video
3,Mathematics,Multiplication,Multiplication of 2 digit numbers,https://www.youtube.com/watch?v=v-yj9kGhVys,Video
3,Mathematics,Multiplication,Multiplication of 3 digit numbers,https://www.youtube.com/watch?v=qdSxtf6Aass,Video
3,Mathematics,Multiplication,Multiplication of 3 digit numbers,https://www.youtube.com/watch?v=_FxsW0iLKX0,Video
3,Mathematics,Multiplication,Multiplication table of 2,https://www.youtube.com/watch?v=VKJ9cCQgPdc,Video
3,Mathematics,Multiplication,Multiplication table of 2,https://www.youtube.com/watch?v=VKJ9cCQgPdc,Video
3,Mathematics,Multiplication,Multiplication table of 3,https://www.youtube.com/watch?v=u5H__MdvAAE,Video
3,Mathematics,Multiplication,Multiplication table of 3,https://www.youtube.com/watch?v=4mjhCjowX4E,Video
3,Mathematics,Multiplication,Multiplication table of 4,https://www.youtube.com/watch?v=MZizfabCeao,Video
3,Mathematics,Multiplication,Multiplication table of 4,https://www.youtube.com/watch?v=u5H__MdvAAE,Video
3,Mathematics,Multiplication,Multiplication table of 4,https://www.youtube.com/watch?v=U4R08GZlICg,Video
3,Mathematics,Multiplication,Multiplication tables,https://www.youtube.com/watch?v=bCjCKWacgmw,Video
3,Mathematics,Multiplication,Multiplication tables,https://www.youtube.com/watch?v=RLBnSisLS3I,Video
3,Mathematics,Multiplication,Multiplication tables,https://www.youtube.com/watch?v=CgkbDcSaHl0,Video
3,Mathematics,Multiplication,Multiplication tables,https://www.youtube.com/watch?v=_dnhIiO-eYM,Video
3,Mathematics,Multiplication,Multiply by powers of ten,https://www.youtube.com/watch?v=UxLQSRk8KbY,Video
3,Mathematics,Multiplication,Multiply by powers of ten,https://www.youtube.com/watch?v=dHIEejLdIYE,Video
3,Mathematics,Multiplication,Word problems,https://www.youtube.com/watch?v=7Qui5dTIxws,Video
3,Mathematics,Multiplication,Word problems,https://www.youtube.com/watch?v=XAwGkR4gmJY,Video
3,Mathematics,Multiplication,Word problems,https://www.youtube.com/watch?v=KPCEudrIM84,Video
3,Mathematics,Number System,Comparing and Ordering Numbers,https://www.youtube.com/watch?v=bCoT2OEmMk4,Video
3,Mathematics,Number System,Comparing and Ordering Numbers,https://www.youtube.com/watch?v=1zQ48irEcEg,Video
3,Mathematics,Number System,Comparing and Ordering Numbers,https://www.youtube.com/watch?v=1zQ48irEcEg,Video
3,Mathematics,Number System,Comparing and Ordering Numbers,https://www.youtube.com/watch?v=bCoT2OEmMk4,Video
3,Mathematics,Number System,Comparing and Ordering Numbers,https://www.youtube.com/watch?v=LiQnwE3KYw4,Video
3,Mathematics,Number System,Place Value of Numbers,https://www.youtube.com/watch?v=QS32l5WhSuY,Video
3,Mathematics,Number System,Place Value of Numbers,https://www.youtube.com/watch?v=gmlc_vkuNR4,Video
3,Mathematics,Number System,Place Value of Numbers,https://www.youtube.com/watch?v=HZd6YC6OnJk,Video
3,Mathematics,Number System,Place Value of Numbers,https://www.youtube.com/watch?v=T5Qf0qSSJFI,Video
3,Mathematics,Number System,Place Value of Numbers,https://www.youtube.com/watch?v=K0f-OxnJ2HU,Video
3,Mathematics,Number System,Place Value of Numbers,https://www.youtube.com/watch?v=hpistfB3WIE,Video
3,Mathematics,Number System,Place Value of Numbers,https://www.youtube.com/watch?v=S29LVPMKw48,Video
3,Mathematics,Number System,Standard and Expanded Forms,https://www.youtube.com/watch?v=1L9Z3oPMTXU,Video
3,Mathematics,Number System,Standard and Expanded Forms,https://www.youtube.com/watch?v=EhyRa0gYrfc,Video
3,Mathematics,Patterns,Sequential Patterns with Figures,https://www.youtube.com/watch?v=8Mbd75FiW7E,Video
3,Mathematics,Patterns,Sequential Patterns with Figures,https://www.youtube.com/watch?v=yshzhYcD3EQ,Video
3,Mathematics,Patterns,Sequential Patterns with Figures,https://www.youtube.com/watch?v=CRgKN5QpYOQ,Video
3,Mathematics,Patterns,Sequential Patterns with Figures,https://www.youtube.com/watch?v=wHzjLsTadVk,Video
3,Mathematics,Patterns,Sequential Patterns with Numbers and Letters,https://www.youtube.com/watch?v=CRgKN5QpYOQ,Video
3,Mathematics,Patterns,Sequential Patterns with Numbers and Letters,https://www.youtube.com/watch?v=d51bsZwPKVw,Video
3,Mathematics,Patterns,Sequential Patterns with Numbers and Letters,https://www.youtube.com/watch?v=cx7AOwafZxk,Video
3,Mathematics,Patterns,Sequential Patterns with Numbers and Letters,https://www.youtube.com/watch?v=tzwyDt_Kvn0,Video
3,Mathematics,Points and Lines,Points and its Properties,https://www.youtube.com/watch?v=qqwDs3tHzxc,Video
3,Mathematics,Points and Lines,Points and its Properties,https://www.youtube.com/watch?v=LvCwVKIkeUE,Video
3,Mathematics,Points and Lines,"Rays, Lines and Line Segments",https://www.youtube.com/watch?v=1VSun4wX7UQ,Video
3,Mathematics,Points and Lines,"Rays, Lines and Line Segments",https://www.youtube.com/watch?v=IXB6Kev1nuA,Video
3,Mathematics,Points and Lines,"Rays, Lines and Line Segments",https://www.youtube.com/watch?v=9dsmVP82tig,Video
3,Mathematics,Roman Numerals,Forming Roman Numerals,https://www.youtube.com/watch?v=qkLL5eDVEPg,Video
3,Mathematics,Shapes,Introduction to basic 2D shapes,https://www.youtube.com/watch?v=61lZpLRnXUM,Video
3,Mathematics,Shapes,Introduction to basic 2D shapes,https://www.youtube.com/watch?v=VAWaV1upv6E,Video
3,Mathematics,Shapes,Introduction to basic 3D shapes,https://www.youtube.com/watch?v=61lZpLRnXUM,Video
3,Mathematics,Shapes,Introduction to basic 3D shapes,https://www.youtube.com/watch?v=3-QwWFkz5hw,Video
3,Mathematics,Shapes,Introduction to basic 3D shapes,https://www.youtube.com/watch?v=REjfX9cDavw,Video
3,Mathematics,Subtraction,Subtraction of 3 digit numbers,https://www.youtube.com/watch?v=4qS4BUhJOD8,Video
3,Mathematics,Subtraction,Subtraction of 3 digit numbers,https://www.youtube.com/watch?v=C8jQlyrFEP4,Video
3,Mathematics,Subtraction,Subtraction of 3 digit numbers,https://www.youtube.com/watch?v=yCGgmnMT21Q,Video
3,Mathematics,Subtraction,Subtraction of 3 digit numbers,https://www.youtube.com/watch?v=i8r7ZTUqB9w,Video
3,Mathematics,Subtraction,Subtraction of 4 digit numbers,https://www.youtube.com/watch?v=W0mWxXX6a58,Video
3,Mathematics,Subtraction,Word Problems,https://www.youtube.com/watch?v=S5C_Kp184Zo,Video
